STT,Từ mới,Phiên âm,Giải thích,Ví dụ (chữ hán),Phiên âm,Dịch
79,旁边,pángbiān,bên cạnh,学校在我家旁边。,Xuéxiào zài wǒ jiā pángbiān.,Trường học ở cạnh nhà tôi.
80,跑步,pǎobù,chạy bộ,我每天早上跑步。,Wǒ měitiān zǎoshang pǎobù.,Tôi chạy bộ mỗi sáng.
81,便宜,piányí,rẻ,这件衣服很便宜。,Zhè jiàn yīfú hěn piányí.,Cái áo này rất rẻ.
82,票,piào,vé,我买了两张电影票。,Wǒ mǎile liǎng zhāng diànyǐng piào.,Tôi đã mua hai vé xem phim.
83,妻子,qīzi,vợ,这是我的妻子。,Zhè shì wǒ de qīzi.,Đây là vợ tôi.
84,起床,qǐchuáng,dậy (rời khỏi giường),我每天六点起床。,Wǒ měitiān liù diǎn qǐchuáng.,Tôi thức dậy lúc sáu giờ mỗi ngày.
85,千,qiān,nghìn,我有一千块钱。,Wǒ yǒu yīqiān kuài qián.,Tôi có một ngàn đồng.
86,晴,qíng,"nắng, quang đãng",今天是晴天。,Jīntiān shì qíngtiān.,Hôm nay trời nắng.
87,去年,qùnián,năm ngoái,我去年去了中国。,Wǒ qùnián qùle zhōngguó.,Năm ngoái tôi đã đi Trung Quốc.
88,让,ràng,"để, làm cho, nhường",请让他进来。,Qǐng ràng tā jìnlái.,Xin hãy để anh ấy vào.
89,上班,shàngbān,đi làm,我每天八点上班。,Wǒ měitiān bā diǎn shàngbān.,Tôi đi làm lúc tám giờ mỗi ngày.
90,身体,shēntǐ,cơ thể,你的身体怎么样？,Nǐ de shēntǐ zěnme yàng?,Sức khỏe của bạn thế nào?
91,生病,shēngbìng,bị bệnh,他生病了，不能来上课。,"Tā shēngbìng le, bùnéng lái shàngkè.","Anh ấy bị ốm, không thể đến lớp."
92,生日,shēngrì,sinh nhật,今天是我的生日。,Jīntiān shì wǒ de shēngrì.,Hôm nay là sinh nhật của tôi.
93,时间,shíjiān,thời gian,现在我没有时间。,Xiànzài wǒ méiyǒu shíjiān.,Bây giờ tôi không có thời gian.
94,事情,shìqíng,việc,你在做什么事情？,Nǐ zài zuò shénme shìqíng?,Bạn đang làm việc gì vậy?
95,手表,shǒubiǎo,đồng hồ,这块手表很贵。,Zhè kuài shǒubiǎo hěn guì.,Chiếc đồng hồ này rất đắt.
96,手机,shǒujī,điện thoại di động,我的手机没电了。,Wǒ de shǒujī méi diàn le.,Điện thoại của tôi hết pin rồi.
97,送,sòng,tặng,我送你一本书。,Wǒ sòng nǐ yī běn shū.,Tôi tặng bạn một quyển sách.
98,所以,suǒyǐ,vì vậy,他很累，所以休息了。,"Tā hěn lèi, suǒyǐ xiūxí le.","Anh ấy rất mệt, nên đã nghỉ ngơi rồi."
99,它,tā,"nó (cho vật, động vật)",它是一只可爱的小猫。,Tā shì yī zhī kě'ài de xiǎo māo.,Nó là một chú mèo đáng yêu.
100,踢足球,tī zúqiú,đá bóng,我们一起踢足球吧。,Wǒmen yīqǐ tī zúqiú ba.,Chúng ta cùng chơi đá bóng nhé.
101,题,tí,"câu hỏi, đề bài",这道题很难。,Zhè dào tí hěn nán.,Câu hỏi này rất khó.
102,跳舞,tiàowǔ,nhảy múa,我喜欢跳舞。,Wǒ xǐhuān tiàowǔ.,Tôi thích nhảy múa.
103,外,wài,ngoài,他在外面等你。,Tā zài wàimiàn děng nǐ.,Anh ấy đang đợi bạn ở bên ngoài.
104,玩,wán,chơi,小孩子们在玩游戏。,Xiǎo háizimen zài wán yóuxì.,Các em nhỏ đang chơi trò chơi.
105,完,wán,"xong, hoàn thành",我已经做完了作业。,Wǒ yǐjīng zuò wán le zuòyè.,Tôi đã làm xong bài tập.
106,晚上,wǎnshàng,buổi tối,我晚上九点睡觉。,Wǒ wǎnshàng jiǔ diǎn shuìjiào.,Tôi đi ngủ lúc chín giờ tối.
107,为什么,wèishénme,tại sao,你为什么不来？,Nǐ wèishéme bù lái?,Tại sao bạn không đến?
108,问,wèn,hỏi,请问你叫什么名字？,Qǐng wèn nǐ jiào shénme míngzì?,Xin hỏi bạn tên là gì?
109,问题,wèntí,vấn đề,这个问题很重要。,Zhège wèntí hěn zhòngyào.,Vấn đề này rất quan trọng.
110,西瓜,xīguā,dưa hấu,我喜欢吃西瓜。,Wǒ xǐhuān chī xīguā.,Tôi thích ăn dưa hấu.
111,希望,xīwàng,hy vọng,我希望你能来。,Wǒ xīwàng nǐ néng lái.,Tôi hy vọng bạn có thể đến.
112,洗,xǐ,rửa,请洗手。,Qǐng xǐ shǒu.,Xin rửa tay.
113,向,xiàng,"hướng về, đối với",向左走。,Xiàng zuǒ zǒu.,Đi về phía bên trái.
114,小时,xiǎoshí,tiếng đồng hồ,我每天学习一个小时。,Wǒ měitiān xuéxí yī gè xiǎoshí.,Tôi học một tiếng mỗi ngày.
115,笑,xiào,cười,他在笑什么？,Tā zài xiào shénme?,Anh ấy đang cười gì vậy?
116,新,xīn,mới,我有一个新手机。,Wǒ yǒu yī gè xīn shǒujī.,Tôi có một chiếc điện thoại mới.
117,姓,xìng,họ,你姓什么？,Nǐ xìng shénme?,Họ của bạn là gì?
118,休息,xiūxi,nghỉ ngơi,我累了，需要休息。,"Wǒ lèile, xūyào xiūxí.","Tôi mệt rồi, cần nghỉ ngơi."
119,雪,xuě,tuyết,明天会下雪。,Míngtiān huì xià xuě.,Ngày mai sẽ có tuyết rơi.
120,颜色,yánsè,màu sắc,你喜欢什么颜色？,Nǐ xǐhuān shénme yánsè?,Bạn thích màu gì?
121,眼睛,yǎnjing,mắt,他的眼睛很大。,Tā de yǎnjīng hěn dà.,Mắt của anh ấy rất to.
122,羊肉,yángròu,thịt cừu,我喜欢吃羊肉。,Wǒ xǐhuān chī yángròu.,Tôi thích ăn thịt cừu.
123,要,yào,"muốn, cần",我要一杯水。,Wǒ yào yī bēi shuǐ.,Tôi muốn một cốc nước.
124,药,yào,thuốc,我生病了，要吃药。,"Wǒ shēngbìng le, yào chī yào.","Tôi bị ốm, cần uống thuốc."
125,也,yě,cũng,他也喜欢游泳。,Tā yě xǐhuān yóuyǒng.,Anh ấy cũng thích bơi lội.
126,已经,yǐjīng,đã,我已经吃过饭了。,Wǒ yǐjīng chī guò fàn le.,Tôi đã ăn cơm rồi.
127,一起,yìqǐ,cùng nhau,我们一起去看电影吧。,Wǒmen yīqǐ qù kàn diànyǐng ba.,Chúng ta cùng đi xem phim nhé.
128,意思,yìsi,ý nghĩa,这是什么意思？,Zhè shì shénme yìsi?,Điều này có nghĩa là gì?
129,阴,yīn,"âm u, trời nhiều mây",今天是阴天。,Jīntiān shì yīntiān.,Hôm nay là ngày trời âm u.
130,因为,yīnwèi,vì,因为下雨，我不去跑步。,"Yīnwèi xiàyǔ, wǒ bú qù pǎobù.","Vì trời mưa, tôi không đi chạy bộ."
131,游泳,yóuyǒng,bơi,我喜欢游泳。,Wǒ xǐhuān yóuyǒng.,Tôi thích bơi lội.
132,右边,yòubiān,bên phải,他坐在我右边。,Tā zuò zài wǒ yòubiān.,Anh ấy ngồi bên phải tôi.
133,鱼,yú,cá,我们晚饭吃鱼。,Wǒmen wǎnfàn chī yú.,Chúng tôi ăn cá vào bữa tối.
134,元,yuán,Đồng (đơn vị tiền tệ),这本书要十元。,Zhè běn shū yào shí yuán.,Quyển sách này giá mười đồng.
135,远,yuǎn,xa,他家离学校很远。,Tā jiā lí xuéxiào hěn yuǎn.,Nhà anh ấy cách xa trường học.
136,运动,yùndòng,vận,我每天都运动。,Wǒ měitiān dōu yùndòng.,Tôi tập thể dục mỗi ngày.
137,再,zài,lại,请再说一遍。,Qǐng zài shuō yī biàn.,Xin hãy nói lại một lần nữa.
138,早上,zǎoshàng,buổi sáng,我每天早上六点起床。,Wǒ měitiān zǎoshang liù diǎn qǐchuáng.,Tôi dậy lúc sáu giờ sáng mỗi ngày.
139,张,zhāng,"tờ, bức (dùng cho vật phẳng, giấy, tranh, bàn)",这是一张照片。,Zhè shì yī zhāng zhàopiàn.,Đây là một tấm ảnh.
140,丈夫,zhàngfu,chồng,这是我的丈夫。,Zhè shì wǒ de zhàngfu.,Đây là chồng tôi.
141,找,zhǎo,tìm,我在找我的钥匙。,Wǒ zài zhǎo wǒ de yàoshi.,Tôi đang tìm chìa khóa của mình.
142,着,zhe,đang (dùng để chỉ trạng thái hiện tại),他在吃着饭呢。,Tā zài chī zhe fàn ne.,Anh ấy đang ăn cơm.
143,真,zhēn,thật,这个苹果真好吃。,Zhège píngguǒ zhēn hào chī.,Quả táo này thật ngon.
144,正在,zhèngzài,đang,妈妈正在打电话。,Māma zhèngzài dǎ diànhuà.,"Mẹ đang gọi điện thoại.
"
145,知道,zhīdào,biết,我知道他是谁。,Wǒ zhīdào tā shì shéi.,Tôi biết anh ấy là ai.
146,准备,zhǔnbèi,chuẩn bị,我正在准备考试。,Wǒ zhèngzài zhǔnbèi kǎoshì.,Tôi đang chuẩn bị cho kỳ thi.
147,自行车,zìxíngchē,xe đạp,他骑自行车去上班。,Tā qí zìxíngchē qù shàngbān.,Anh ấy đi làm bằng xe đạp.
148,走,zǒu,đi,我们一起走吧。,Wǒmen yīqǐ zǒu ba.,Chúng ta cùng đi nhé.
149,最,zuì,nhất (so sánh nhất),这是我最喜欢的书。,Zhè shì wǒ zuì xǐhuān de shū.,Đây là cuốn sách tôi thích nhất.
150,左边,zuǒbiān,bên trái,他坐在我左边。,Tā zuò zài wǒ zuǒbiān.,Anh ấy ngồi bên trái tôi.
1,阿姨,āyí,"dì, cô",阿姨非常喜欢我们。,Āyí fēicháng xǐhuān wǒmen.,Dì rất thích chúng tôi.
2,啊,a,"a, à, ơ (trợ từ ngữ khí)",啊，我忘记了！,"A, wǒ wàngjì le!","À, tôi quên rồi!"
3,矮,ǎi,"thấp, lùn",他比我矮。,Tā bǐ wǒ ǎi.,Anh ấy thấp hơn tôi.
4,爱好,àihào,sở thích,我的爱好是画画儿。,Wǒ de àihào shì huà huàr.,Sở thích của tôi là vẽ tranh.
5,安静,ānjìng,yên tĩnh,请保持安静。,Qǐng bǎochí ānjìng.,Xin hãy giữ yên lặng.
6,把,bǎ,"đem, lấy (giới từ)",把书给我。,Bǎ shū gěi wǒ.,Đưa cuốn sách cho tôi.
7,班,bān,"lớp, ca (làm việc)",我们班有二十个学生。,Wǒmen bān yǒu èrshí gè xuéshēng.,Lớp chúng tôi có hai mươi học sinh.
8,搬,bān,"chuyển, dời",他搬家到北京了。,Tā bānjiā dào Běijīng le.,Anh ấy đã chuyển nhà đến Bắc Kinh.
9,半,bàn,một nửa,我们半个小时后见。,Wǒmen bàn gè xiǎoshí hòu jiàn.,Chúng ta gặp nhau sau nửa giờ.
10,办法,bànfǎ,biện pháp,我有一个好办法。,Wǒ yǒu yīgè hǎo bànfǎ.,Tôi có một cách hay.
11,办公室,bàngōngshì,văn phòng,他在办公室工作。,Tā zài bàngōngshì gōngzuò.,Anh ấy làm việc ở văn phòng.
12,帮忙,bāngmáng,giúp đỡ (động từ li hợp),有你帮忙我就放心了。,Yǒu nǐ bāngmáng wǒ jiù fàngxīn le.,Có bạn giúp thì tôi yên tâm rồi.
13,包,bāo,"túi, bao",我的包丢了。,Wǒ de bāo diū le.,Cái túi của tôi bị mất rồi.
14,饱,bǎo,no,我吃饱了。,Wǒ chī bǎo le.,Tôi ăn no rồi.
15,北方,běifāng,miền Bắc,北方的冬天很冷。,Běifāng de dōngtiān hěn lěng.,Mùa đông ở phía Bắc rất lạnh.
16,被,bèi,"bị, được (giới từ bị động)",他被老师表扬了。,Tā bèi lǎoshī biǎoyáng le.,Anh ấy được thầy giáo khen ngợi.
17,比较,bǐjiào,"khá, tương đối",她比较高。,Tā bǐjiào gāo.,Cô ấy khá cao.
18,比赛,bǐsài,"cuộc thi, thi đấu",他们在参加比赛。,Tāmen zài cānjiā bǐsài.,Họ đang tham gia thi đấu.
19,必须,bìxū,"phải, cần phải",你必须按时到。,Nǐ bìxū ànshí dào.,Bạn phải đến đúng giờ.
20,变化,biànhuà,thay đổi,这里的天气变化很大。,Zhèlǐ de tiānqì biànhuà hěn dà.,Thời tiết ở đây thay đổi rất nhiều.
21,表示,biǎoshì,"biểu thị, thể hiện",他表示同意这个计划。,Tā biǎoshì tóngyì zhège jìhuà.,Anh ấy thể hiện đồng ý với kế hoạch này.
22,表演,biǎoyǎn,biểu diễn,她在表演节目。,Tā zài biǎoyǎn jiémù.,Cô ấy đang biểu diễn chương trình.
23,别人,biérén,người khác,别人的意见很重要。,Biérén de yìjiàn hěn zhòngyào.,Ý kiến của người khác rất quan trọng.
24,宾馆,bīnguǎn,khách sạn,宾馆的房间很干净。,Bīnguǎn de fángjiān hěn gānjìng.,Phòng của khách sạn rất sạch sẽ.
25,冰箱,bīngxiāng,tủ lạnh,冰箱里有很多食物。,Bīngxiāng lǐ yǒu hěn duō shíwù.,Trong tủ lạnh có rất nhiều thức ăn.
26,才,cái,"mới (nhấn mạnh thời gian muộn, trễ)",为什么你现在才来。,Wèi shénme nǐ xiànzài cái lái?,Tại sao bây giờ bạn mới tới?
27,菜单,càidān,thực đơn,菜单上有很多菜。,Càidān shàng yǒu hěn duō cài.,Trên thực đơn có nhiều món ăn.
28,参加,cānjiā,tham gia,我参加了这个活动。,Wǒ cānjiā le zhège huódòng.,Tôi đã tham gia hoạt động này.
29,草,cǎo,cỏ,草地上有很多花。,Cǎodì shàng yǒu hěn duō huā.,Trên bãi cỏ có nhiều hoa.
30,层,céng,tầng,我住在三层。,Wǒ zhù zài sān céng.,Tôi sống ở tầng ba.
31,差,chà,"kém, thiếu, tệ",今天的天气很差。,Jīntiān de tiānqì hěn chà.,Thời tiết hôm nay rất tệ.
32,超市,chāoshì,siêu thị,我去超市买东西。,Wǒ qù chāoshì mǎi dōngxi.,Tôi đi siêu thị mua đồ.
33,衬衫,chènshān,áo sơ mi,他穿了一件白衬衫。,Tā chuān le yī jiàn bái chènshān.,Anh ấy mặc một chiếc áo sơ mi trắng.
34,成绩,chéngjì,thành tích,他的成绩很好。,Tā de chéngjī hěn hǎo.,Thành tích của anh ấy rất tốt.
35,城市,chéngshì,thành phố,这座城市很大。,Zhè zuò chéngshì hěn dà.,Thành phố này rất lớn.
36,迟到,chídào,đến trễ,他今天迟到了。,Tā jīntiān chídào le.,Hôm nay anh ấy đến muộn.
37,出现,chūxiàn,xuất hiện,我们出现了问题。,Wǒmen chūxiàn le wèntí.,Chúng tôi gặp vấn đề rồi.
38,厨房,chúfáng,nhà bếp,厨房很干净。,Chúfáng hěn gānjìng.,Nhà bếp rất sạch.
39,除了,chúle,"ngoài ra, trừ ra",除了他，大家都来了。,"Chúle tā, dàjiā dōu lái le.","Ngoài anh ấy, mọi người đều đến."
40,春,chūn,mùa xuân,春天来了，花开了。,"Chūntiān lái le, huā kāi le.","Mùa xuân đến rồi, hoa nở rồi."
41,词语,cíyǔ,từ ngữ,我喜欢学习新词语。,Wǒ xǐhuān xuéxí xīn cíyǔ.,Tôi thích học từ mới.
42,聪明,cōngmíng,thông minh,她很聪明，总是知道答案。,"Tā hěn cōngmíng, zǒng shì zhīdào dá'àn.","Cô ấy rất thông minh, luôn biết đáp án."
43,打扫,dǎsǎo,quét dọn,我们一起打扫房间吧。,Wǒmen yīqǐ dǎsǎo fángjiān ba.,Chúng ta cùng dọn phòng nhé.
44,打算,dǎsuàn,dự định,我打算去旅游。,Wǒ dǎsuàn qù lǚyóu.,Tôi dự định đi du lịch.
45,带,dài,"mang theo, dẫn theo",别忘了带雨伞。,Bié wàngle dài yǔsǎn.,Đừng quên mang theo ô.
46,担心,dānxīn,lo lắng,我担心他的健康。,Wǒ dānxīn tā de jiànkāng.,Tôi lo lắng cho sức khỏe của anh ấy.
47,蛋糕,dàngāo,bánh ngọt,生日快乐，给你蛋糕。,"Shēngrì kuàilè, gěi nǐ dàngāo.","Sinh nhật vui vẻ, tặng bạn bánh ngọt."
48,当然,dāngrán,đương nhiên,你当然可以去。,Nǐ dāngrán kěyǐ qù.,Đương nhiên bạn có thể đi.
49,地,de,trợ từ của động từ,请慢慢地说。,Qǐng mànmàn de shuō.,Xin hãy nói chậm lại.
50,灯,dēng,đèn,请开灯。,Qǐng kāi dēng.,Vui lòng bật đèn.
51,低,dī,thấp,他的声音很低。,Tā de shēngyīn hěn dī.,Giọng anh ấy rất nhỏ.
52,地方,dìfāng,"nơi, chỗ",这个地方很好玩。,Zhège dìfāng hěn hǎowán.,Nơi này rất vui.
53,地铁,dìtiě,tàu điện ngầm,我坐地铁去上班。,Wǒ zuò dìtiě qù shàngbān.,Tôi đi làm bằng tàu điện ngầm.
54,地图,dìtú,bản đồ,你有这座城市的地图吗？,Nǐ yǒu zhè zuò chéngshì de dìtú ma?,Bạn có bản đồ của thành phố này không?
55,电梯,diàntī,thang máy,我们坐电梯上楼。,Wǒmen zuò diàntī shàng lóu.,Chúng tôi đi thang máy lên lầu.
56,电子邮箱,diànzǐ yóuxiāng,hộp thư điện tử (email),请发电子邮件给我。,Qǐng fā diànzǐ yóujiàn gěi wǒ.,Xin gửi email cho tôi.
57,东,dōng,đông (hướng đông),东边有一座山。,Dōngbiān yǒu yī zuò shān.,Phía đông có một ngọn núi.
58,冬,dōng,mùa đông,冬天很冷。,Dōngtiān hěn lěng.,Mùa đông rất lạnh.
59,动物,dòngwù,động vật,我喜欢动物。,Wǒ xǐhuān dòngwù.,Tôi thích động vật.
60,短,duǎn,ngắn,这条裙子太短了。,Zhè tiáo qúnzi tài duǎn le.,Chiếc váy này quá ngắn.
61,段,duàn,"đoạn, quãng",他讲了一段故事。,Tā jiǎng le yī duàn gùshì.,Anh ấy đã kể một đoạn câu chuyện.
62,锻炼,duànliàn,"luyện tập, rèn luyện",我每天锻炼身体。,Wǒ měitiān duànliàn shēntǐ.,Tôi tập thể dục mỗi ngày.
63,多么,duōme,"bao nhiêu, biết bao",这里的景色多么美丽。,Zhèlǐ de jǐngsè duōme měilì.,Cảnh ở đây đẹp làm sao.
64,饿,è,đói,我饿了，想吃饭。,"Wǒ è le, xiǎng chī fàn.","Tôi đói rồi, muốn ăn cơm."
65,而且,érqiě,"mà còn, hơn nữa",他聪明而且很努力。,Tā cōngmíng érqiě hěn nǔlì.,Anh ấy thông minh hơn nữa rất chăm chỉ.
66,耳朵,ěrduo,tai,我的耳朵很敏感。,Wǒ de ěrduo hěn mǐngǎn.,Tai tôi rất nhạy cảm.
67,发烧,fāshāo,sốt,他发烧了，要休息。,"Tā fāshāo le, yào xiūxí.","Anh ấy bị sốt, cần nghỉ ngơi."
68,发现,fāxiàn,phát hiện,我发现了一个秘密。,Wǒ fāxiàn le yīgè mìmì.,Tôi đã phát hiện ra một bí mật.
69,方便,fāngbiàn,thuận tiện,这里很方便。,Zhèlǐ hěn fāngbiàn.,Ở đây rất tiện lợi.
70,放,fàng,"đặt, để",请把书放在桌子上。,Qǐng bǎ shū fàng zài zhuōzi shàng.,Vui lòng để sách lên bàn.
71,放心,fàngxīn,yên tâm,请你放心。,Qǐng nǐ fàngxīn.,Xin bạn yên tâm.
72,分,fēn,"phút, phân",我们八点十分出发。,Wǒmen bā diǎn shí fēn chūfā.,Chúng ta khởi hành lúc tám giờ mười phút.
73,附近,fùjìn,"gần đây, vùng lân cận",我家附近有公园。,Wǒ jiā fùjìn yǒu gōngyuán.,Gần nhà tôi có công viên.
74,复习,fùxí,ôn tập,我需要复习功课。,Wǒ xūyào fùxí gōngkè.,Tôi cần ôn bài.
75,干净,gānjìng,sạch sẽ,房间很干净。,Fángjiān hěn gānjìng.,Phòng rất sạch sẽ.
76,敢,gǎn,dám,我敢说你是对的。,Wǒ gǎn shuō nǐ shì duì de.,Tôi dám nói bạn đúng.
77,感冒,gǎnmào,"cảm mạo, cảm lạnh",他感冒了，不能来。,"Tā gǎnmào le, bùnéng lái.","Anh ấy bị cảm, không thể đến."
78,刚才,gāngcái,vừa mới,刚才我看见他了。,Gāngcái wǒ kànjiàn tā le.,Vừa rồi tôi đã nhìn thấy anh ấy.
79,跟,gēn,cùng với,我跟他一起去。,Wǒ gēn tā yīqǐ qù.,Tôi đi cùng anh ấy.
80,根据,gēnjù,căn cứ vào,根据天气预报，今天会下雨。,"Gēnjù tiānqì yùbào, jīntiān huì xiàyǔ.","Theo dự báo thời tiết, hôm nay sẽ mưa."
81,更,gèng,"hơn, càng",她比我更高。,Tā bǐ wǒ gèng gāo.,Cô ấy cao hơn tôi.
82,公园,gōngyuán,công viên,我喜欢去公园散步。,Wǒ xǐhuān qù gōngyuán sànbù.,Tôi thích đi dạo trong công viên.
83,故事,gùshì,câu chuyện,这个故事很有趣。,Zhège gùshì hěn yǒuqù.,Câu chuyện này rất thú vị.
84,刮风,guā fēng,gió thổi,今天刮风了。,Jīntiān guāfēng le.,Hôm nay gió thổi mạnh.
85,关,guān,"đóng, tắt",请关门。,Qǐng guān mén.,Vui lòng đóng cửa.
86,关系,guānxì,quan hệ,我们是好朋友，关系很好。,"Wǒmen shì hǎo péngyǒu, guānxì hěn hǎo.","Chúng tôi là bạn tốt, quan hệ rất tốt."
87,关心,guānxīn,quan tâm,她很关心我。,Tā hěn guānxīn wǒ.,Cô ấy rất quan tâm đến tôi.
88,关于,guānyú,về (liên quan đến),这是关于旅行的书。,Zhè shì guānyú lǚxíng de shū.,Đây là cuốn sách về du lịch.
89,国家,guójiā,quốc gia,我爱我的国家。,Wǒ ài wǒ de guójiā.,Tôi yêu đất nước của tôi.
90,果汁,guǒzhī,nước ép trái cây,请给我一杯果汁。,Qǐng gěi wǒ yī bēi guǒzhī.,Vui lòng cho tôi một ly nước ép.
91,过去,guòqù,quá khứ,我们过去是同学。,Wǒmen guòqù shì tóngxué.,Chúng tôi từng là bạn học.
92,还是,háishì,"vẫn còn, hay là",你还是学生吗？,Nǐ háishì xuéshēng ma?,Bạn vẫn là học sinh à?
93,害怕,hàipà,sợ,我害怕黑暗。,Wǒ hàipà hēi'àn.,Tôi sợ bóng tối.
94,河,hé,sông,河边有很多花。,Hé biān yǒu hěn duō huā.,Bên bờ sông có nhiều hoa.
95,黑板,hēibǎn,bảng,请在黑板上写字。,Qǐng zài hēibǎn shàng xiězì.,Vui lòng viết lên bảng.
96,护照,hùzhào,hộ chiếu,我需要护照去旅行。,Wǒ xūyào hùzhào qù lǚxíng.,Tôi cần hộ chiếu để đi du lịch.
97,花,huā,"hoa, tiêu (tiền, thời gian)",这里的花开得很美。,Zhèlǐ de huā kāi de hěn měi.,Hoa ở đây nở rất đẹp.
98,花园,huāyuán,vườn hoa,我们在花园里玩。,Wǒmen zài huāyuán lǐ wán.,Chúng tôi chơi trong vườn hoa.
99,画,huà,"vẽ, tranh",他喜欢画画儿。,Tā xǐhuān huà huàr.,Anh ấy thích vẽ tranh.
100,坏,huài,"hỏng, xấu",我的手机坏了。,Wǒ de shǒujī huài le.,Điện thoại của tôi bị hỏng rồi.
101,还,huán,"trả lại, hoàn",你什么时候把钱还给我?,Nǐ shénme shíhòu bǎ qián huán gěi wǒ?,Khi nào bạn trả tiền cho tôi?
102,环境,huánjìng,môi trường,我喜欢安静的环境。,Wǒ xǐhuān ānjìng de huánjìng.,Tôi thích môi trường yên tĩnh.
103,换,huàn,đổi,我想换工作。,Wǒ xiǎng huàn gōngzuò.,Tôi muốn đổi công việc.
104,黄,huáng,màu vàng,这条裙子是黄色的。,Zhè tiáo qúnzi shì huángsè de.,Chiếc váy này màu vàng.
105,会议,huìyì,"hội nghị, cuộc họp",会议将在下午三点开始。,Huìyì jiāng zài xiàwǔ sān diǎn kāishǐ.,Cuộc họp sẽ bắt đầu lúc ba giờ chiều.
106,或者,huòzhě,hoặc là,你可以选择苹果或者香蕉。,Nǐ kěyǐ xuǎnzé píngguǒ huòzhě xiāngjiāo.,Bạn có thể chọn táo hoặc chuối.
107,机会,jīhuì,cơ hội,这是一个好机会。,Zhè shì yīgè hǎo jīhuì.,Đây là một cơ hội tốt.
108,几乎,jīhū,"hầu như, gần như",他几乎每天都锻炼。,Tā jīhū měitiān dōu duànliàn.,Anh ấy hầu như tập thể dục mỗi ngày.
109,极,jí,cực kỳ,这个菜的味道好极了。,Zhège cài de wèidào hǎo jí le.,Mùi vị của món ăn này cực kỳ ngon.
110,记得,jìdé,"nhớ, nhớ đến",请记得带钥匙。,Qǐng jìdé dài yàoshi.,Hãy nhớ mang theo chìa khóa.
111,季节,jìjié,mùa,我最喜欢的季节是春天。,Wǒ zuì xǐhuān de jìjié shì chūntiān.,Mùa yêu thích của tôi là mùa xuân.
112,检查,jiǎnchá,kiểm tra,老师检查了我们的作业。,Lǎoshī jiǎnchá le wǒmen de zuòyè.,Thầy giáo đã kiểm tra bài tập của chúng tôi.
113,简单,jiǎndān,đơn giản,这个问题很简单。,Zhège wèntí hěn jiǎndān.,Câu hỏi này rất đơn giản.
114,健康,jiànkāng,khỏe mạnh,健康比什么都重要。,Jiànkāng bǐ shénme dōu zhòngyào.,Sức khỏe quan trọng hơn mọi thứ.
115,见面,jiànmiàn,gặp mặt,我们明天见面吧。,Wǒmen míngtiān jiànmiàn ba.,Chúng ta gặp nhau vào ngày mai nhé.
116,讲,jiǎng,"nói, giảng",他喜欢讲故事。,Tā xǐhuān jiǎng gùshì.,Anh ấy thích kể chuyện.
117,教,jiāo,dạy,他教我们汉语。,Tā jiāo wǒmen Hànyǔ.,Anh ấy dạy chúng tôi tiếng Trung.
118,角,jiǎo,góc,猫在桌子的角落里。,Māo zài zhuōzi de jiǎoluò lǐ.,Con mèo ở góc bàn.
119,脚,jiǎo,chân,我的脚很疼。,Wǒ de jiǎo hěn téng.,Chân tôi rất đau.
120,接,jiē,"nhận, tiếp",请接电话。,Qǐng jiē diànhuà.,Vui lòng nghe điện thoại.
121,街道,jiēdào,đường phố,这条街道很宽。,Zhè tiáo jiēdào hěn kuān.,Con đường này rất rộng.
122,结婚,jiéhūn,kết hôn,他们结婚了。,Tāmen jiéhūn le.,Họ đã kết hôn.
123,结束,jiéshù,kết thúc,会议结束了。,Huìyì jiéshù le.,Cuộc họp đã kết thúc.
124,节目,jiémù,chương trình,我喜欢这个节目。,Wǒ xǐhuān zhège jiémù.,Tôi thích chương trình này.
125,节日,jiérì,ngày lễ,春节是中国的传统节日。,Chūnjié shì Zhōngguó de chuántǒng jiérì.,Tết Nguyên Đán là ngày lễ truyền thống của Trung Quốc.
126,解决,jiějué,giải quyết,我们需要解决这个问题。,Wǒmen xūyào jiějué zhège wèntí.,Chúng ta cần giải quyết vấn đề này.
127,借,jiè,mượn,我可以借你的书吗？,Wǒ kěyǐ jiè nǐ de shū ma?,Tôi có thể mượn sách của bạn không?
128,经常,jīngcháng,thường xuyên,我经常去图书馆。,Wǒ jīngcháng qù túshūguǎn.,Tôi thường xuyên đến thư viện.
129,经过,jīngguò,trải qua,他经过我家门口。,Tā jīngguò wǒ jiā ménkǒu.,Anh ấy đi qua cửa nhà tôi.
130,经历,jīnglì,kinh nghiệm,这是一段难忘的经历。,Zhè shì yī duàn nánwàng de jīnglì.,Đây là một trải nghiệm khó quên.
131,久,jiǔ,lâu,我等了很久。,Wǒ děng le hěn jiǔ.,Tôi đã đợi rất lâu.
132,旧,jiù,cũ,这本书很旧。,Zhè běn shū hěn jiù.,Cuốn sách này rất cũ.
133,举行,jǔxíng,tổ chức,学校将举行运动会。,Xuéxiào jiāng jǔxíng yùndònghuì.,Trường sẽ tổ chức đại hội thể thao.
134,句子,jùzi,câu,请你用这个词语造句子。,Qǐng nǐ yòng zhège cíyǔ zào jùzi.,Vui lòng dùng từ này để tạo câu.
135,决定,juédìng,quyết định,我决定明天去旅行。,Wǒ juédìng míngtiān qù lǚxíng.,Tôi quyết định đi du lịch vào ngày mai.
